行业名称,风格因子,回归系数,t值,p值,样本周数,R方,残差年化波动率
300主要消费,价值,-0.876962424842161,-9.612458811936845,7.08368421437774e-22,1093,0.12208615516866783,0.16757826780574897
300主要消费,成长,0.19429034624588187,1.8605110693104083,0.06281325383243287,1093,0.12208615516866783,0.16757826780574897
300主要消费,红利,0.17803585303195293,2.515555505124726,0.011884496220314816,1093,0.12208615516866783,0.16757826780574897
300主要消费,低波,0.6292636762506256,6.669168053547979,2.5725754074718946e-11,1093,0.12208615516866783,0.16757826780574897
300主要消费,质量,-0.15338427538715488,-3.337735014886813,0.0008446425868731786,1093,0.12208615516866783,0.16757826780574897
300主要消费,动量,0.242000196111482,3.9828092262376176,6.810542407559117e-05,1093,0.12208615516866783,0.16757826780574897
300医药卫生,价值,-1.0445620346226985,-12.1143101263704,8.870736516186466e-34,1093,0.2762451299478542,0.15838233920982533
300医药卫生,成长,0.2833114523374114,2.870490477319199,0.004098355410279171,1093,0.2762451299478542,0.15838233920982533
300医药卫生,红利,0.07819187905439973,1.1689583259008696,0.24242042219221419,1093,0.2762451299478542,0.15838233920982533
300医药卫生,低波,0.6390643001678479,7.166291988660814,7.705633492353631e-13,1093,0.2762451299478542,0.15838233920982533
300医药卫生,质量,0.15961030608902682,3.6748776993601253,0.0002379633758985128,1093,0.2762451299478542,0.15838233920982533
300医药卫生,动量,0.15708349740415473,2.7353650444362665,0.006231113137859428,1093,0.2762451299478542,0.15838233920982533
300信息技术,价值,-1.096283671193948,-13.943856725525414,3.4289867809204837e-44,1093,0.46203834851793435,0.14441464502652981
300信息技术,成长,-0.3027504761088311,-3.3641265979291255,0.0007678631195749571,1093,0.46203834851793435,0.14441464502652981
300信息技术,红利,-0.21568872713785192,-3.5363915323631616,0.0004056330338539448,1093,0.46203834851793435,0.14441464502652981
300信息技术,低波,0.14860077989760026,1.8275385495637435,0.06761883558107486,1093,0.46203834851793435,0.14441464502652981
300信息技术,质量,0.44652411306122797,11.275151658759723,1.740783883040332e-29,1093,0.46203834851793435,0.14441464502652981
300信息技术,动量,-0.18348182636780597,-3.504074256175584,0.00045819757320416217,1093,0.46203834851793435,0.14441464502652981
300通信服务,价值,-0.6098394778349305,-5.255924049522149,1.4728306766325243e-07,1093,0.06435286967515064,0.21312660032213215
300通信服务,成长,-0.5740850056592285,-4.322522667629699,1.5425522916536568e-05,1093,0.06435286967515064,0.21312660032213215
300通信服务,红利,-0.15869240167821286,-1.763041791736864,0.07789344136791779,1093,0.06435286967515064,0.21312660032213215
300通信服务,低波,0.3919688595671924,3.266409296342915,0.0010892069484141253,1093,0.06435286967515064,0.21312660032213215
300通信服务,质量,0.009308131587384992,0.1592625149804397,0.8734620524734896,1093,0.06435286967515064,0.21312660032213215
300通信服务,动量,0.019220831767874813,0.24872875939478353,0.8035706010265069,1093,0.06435286967515064,0.21312660032213215
300公用事业,价值,0.09034738299126192,1.237374158332743,0.2159482079711931,1093,0.3402112421208394,0.13411758934545018
300公用事业,成长,-0.38229884112368007,-4.574208702087114,4.780231658780846e-06,1093,0.3402112421208394,0.13411758934545018
300公用事业,红利,0.3638028627544234,6.42280157258619,1.337888435149616e-10,1093,0.3402112421208394,0.13411758934545018
300公用事业,低波,0.7066148624068376,9.357368314646301,8.174740702851356e-21,1093,0.3402112421208394,0.13411758934545018
300公用事业,质量,0.04784066770421955,1.3007690843410564,0.1933375071237087,1093,0.3402112421208394,0.13411758934545018
300公用事业,动量,0.08119810348425528,1.6697506857971676,0.09496870092533664,1093,0.3402112421208394,0.13411758934545018
300房地产,价值,1.1155656721041787,9.320386988409695,1.1591673219586844e-20,1093,0.10142919667278116,0.21985300205120328
300房地产,成长,0.14542847839791917,1.0614897208453606,0.2884674018954216,1093,0.10142919667278116,0.21985300205120328
300房地产,红利,-0.13656933621567227,-1.4708382991456497,0.14133485215355596,1093,0.10142919667278116,0.21985300205120328
300房地产,低波,-0.5393467836361449,-4.357048436591997,1.318281028047473e-05,1093,0.10142919667278116,0.21985300205120328
300房地产,质量,0.17922594942129882,2.9727418847241336,0.002951525445233073,1093,0.10142919667278116,0.21985300205120328
300房地产,动量,-0.17160452628693287,-2.1527213700571854,0.03134058296146346,1093,0.10142919667278116,0.21985300205120328
300金融,价值,1.2954460888788895,20.084251061432898,1.0134007012731642e-89,963,0.5027056396820384,0.11275115531725004
300金融,成长,-0.19645018182186758,-2.5385930124604803,0.011129921343966799,963,0.5027056396820384,0.11275115531725004
300金融,红利,-0.5421302381282223,-10.523265564966163,6.749298045467284e-26,963,0.5027056396820384,0.11275115531725004
300金融,低波,0.04326852456869107,0.6395508418658162,0.5224646500705732,963,0.5027056396820384,0.11275115531725004
300金融,质量,-0.01955972882617272,-0.5905129301062512,0.554846819666972,963,0.5027056396820384,0.11275115531725004
300金融,动量,0.019165814000877444,0.4488704089605155,0.6535251435008944,963,0.5027056396820384,0.11275115531725004
