环境维度,环境分类,风格因子,周数,风格年化收益,沪深300年化收益,年化超额收益,累计相对超额收益,信息比率,胜率,风格最大回撤,相对最大回撤
市场状态,震荡市,红利,177,-0.08013514918576703,-0.038344879481721716,-0.04281894545138257,-0.14034996545176237,-0.7871262865998747,0.4406779661016949,-0.40049551965731933,-0.18060754340377183
市场状态,震荡市,低波,177,-0.037122275638614144,-0.038344879481721716,-0.0036246507259163475,0.004334109213710358,-0.07226226184663004,0.5084745762711864,-0.2618140700323498,-0.10947625866887123
市场状态,震荡市,质量,177,0.09310665155446518,-0.038344879481721716,0.13432956148382225,0.546681366276283,1.0486491056924854,0.6101694915254238,-0.27891435258499386,-0.17531909101891108
市场状态,震荡市,规模,177,0.09470732737154552,-0.038344879481721716,0.13651075804770663,0.5544041849973791,1.0999798516859831,0.5932203389830508,-0.29529915223083003,-0.1820191198629756
市场状态,震荡市,动量,177,-0.003682057864563104,-0.038344879481721716,0.03816718544345943,0.12809688085988036,0.5298111238513784,0.5536723163841808,-0.3515836011931234,-0.09385348826119166
历史阶段,低位修复震荡,价值,77,0.004566402477692133,-0.005320081772647867,0.01213399878987734,0.01475300689433423,0.21254104562102877,0.42857142857142855,-0.29018587291893594,-0.08235916681142752
历史阶段,低位修复震荡,成长,77,-0.015510416004943517,-0.005320081772647867,-0.010242954689584981,-0.015132814026727837,-0.2538907824431029,0.4675324675324675,-0.2580553525533442,-0.049241272447255735
历史阶段,低位修复震荡,红利,77,0.016107523369047305,-0.005320081772647867,0.02484452883816268,0.03206361952508874,0.4036065357245564,0.4675324675324675,-0.25238707864428533,-0.05746292880572035
历史阶段,低位修复震荡,低波,77,0.05278571308034219,-0.005320081772647867,0.05315440206889991,0.08770414374342339,1.0894400700502225,0.5324675324675324,-0.20528911917809844,-0.02987868184599929
历史阶段,低位修复震荡,质量,77,0.24738037061670592,-0.005320081772647867,0.22845781982726476,0.3982429862030117,1.8638729376521808,0.6623376623376623,-0.14657173319072725,-0.06884126125483381
历史阶段,低位修复震荡,规模,77,0.2044665920482951,-0.005320081772647867,0.19476878552139848,0.3276048081312757,1.793842399432116,0.6363636363636364,-0.1547618505569559,-0.07209542601482599
历史阶段,低位修复震荡,动量,77,-0.04010444274629754,-0.005320081772647867,-0.03361644143192434,-0.05134512467078256,-0.634107656792453,0.4805194805194805,-0.28360270962009493,-0.09228873230547585
历史阶段,供给侧与核心资产阶段,价值,104,0.31311125036817145,0.2246299339857074,0.07052047606852407,0.14972322095159085,1.3712735183779987,0.5384615384615384,-0.06621113367596054,-0.03052940632716361
历史阶段,供给侧与核心资产阶段,成长,104,0.26264557629343144,0.2246299339857074,0.03166923327733934,0.06304875060370985,1.0554670477230785,0.5,-0.07202091417899315,-0.03973661646598037
历史阶段,供给侧与核心资产阶段,红利,104,0.23066349391500984,0.2246299339857074,0.004317895966761354,0.009877960621342163,0.12693137640765023,0.5480769230769231,-0.06605423925457288,-0.076043405245239
历史阶段,供给侧与核心资产阶段,低波,104,0.24501092126665158,0.2246299339857074,0.015301990341244076,0.03356211161712963,0.35129665480298544,0.5384615384615384,-0.07237164863737833,-0.06417597359725535
